Depth (cm)	EM3
644.25	0.32340769
644.75	0.34021467
645.25	0.36508816
645.75	0.36704218
646.25	0.37745373
646.75	0.34528013
647.25	0.38533747
647.75	0.42085447
648.25	0.45100639
648.75	0.38882953
649.25	0.4541635
649.75	0.46766281
650.25	0.47098825
650.75	0.51794101
651.25	0.46992486
651.75	0.42655513
652.25	0.65215467
652.75	0.65162042
653.25	0.61652155
653.75	0.60551123
654.25	0.59807344
654.75	0.57876361
655.25	0.62446135
655.75	0.57937145
656.25	0.61483992
656.75	0.6200223
657.25	0.70509624
657.75	0.98889776
658.25	0.91484538
658.75	0.95407893
659.25	0.97940695
659.75	0.94829514
660.25	0.85734536
660.75	0.90911581
661.25	0.91854164
661.75	0.92726882
662.25	0.87580165
662.75	0.93190271
663.25	0.73689711
663.75	0.85010978
664.25	0.66118254
664.75	0.69072149
665.25	0.56790175
665.75	0.81153701
666.25	0.85237165
666.75	0.80396372
667.25	0.71011832
667.75	0.78598267
668.25	0.77846267
668.75	0.7544964
669.25	0.77093412
669.75	0.69956923
670.25	0.76218169
670.75	0.67142923
671.25	0.68978297
671.75	0.67858366
672.25	0.63120597
672.75	0.65931163
673.25	0.65637617
673.75	0.61428817
674.25	0.71992513
674.75	0.52906623
675.25	0.28193179
675.75	0.5104808
676.25	0.46115817
676.75	0.48613331
677.25	0.46861995
677.75	0.29026649
678.25	0.21335039
678.75	0.11888513
679.25	0.15715953
679.75	0.22784933
680.25	0.18200682
680.75	0.13807775
681.25	0.15488044
681.75	0.12142024
